model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,final_kf,accuracy,brier
TabPFN Classifier (v2 compatibility),500,500,9500,4,0.12026548385620117,3.2400166988372803,1,1,0,0,,,0.051345920238847,,0.9004210526315789,0.07053238450758624
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,5,6.698243618011475,0.0060079097747802734,16,16,0,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,112.0,4.636743068695068,0.24590644117250937,0.7102105263157895,0.2452918304008183
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,5,4.261212110519409,0.0,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59.0,4.823489189147949,0.34750761476760045,0.7317894736842105,0.2168195657914375
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,5,7.087671279907227,0.031691789627075195,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,86.0,4.636695861816406,0.29454385450024867,0.7109473684210527,0.245110271941835
TabPFN Classifier (v2.5 default),50,500,9500,5,0.1430671215057373,3.0749998092651367,1,1,0,0,,,0.3637605844270682,,0.7252631578947368,0.17899841891043985
TabPFN Classifier (v2 compatibility),50,500,9500,5,0.11904764175415039,2.5368175506591797,1,1,0,0,,,0.40269247274160164,,0.7905263157894736,0.15071148639574183
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,5,4.922491788864136,0.007764339447021484,16,16,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,81.0,4.588323593139648,0.5972107298509879,0.7492631578947369,0.20545735362107498
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,5,5.345122575759888,0.006044864654541016,16,16,0,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,44.0,4.5939040184021,0.7635922914115382,0.7758947368421053,0.1796168287242905
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,5,10.694788932800293,0.04736948013305664,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,80.0,4.587863445281982,0.742509273617233,0.7661052631578947,0.19468422658961027
TabPFN Classifier (v2.5 default),100,500,9500,5,0.15973329544067383,3.0084340572357178,1,1,0,0,,,0.19009015647977415,,0.7865263157894736,0.14309833531954178
TabPFN Classifier (v2 compatibility),100,500,9500,5,0.12521791458129883,2.6247341632843018,1,1,0,0,,,0.24770269150335242,,0.8086315789473684,0.13122657539957852
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,5,12.400492191314697,0.02584075927734375,16,16,0,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,133.0,4.612265586853027,0.9044723664204162,0.867578947368421,0.09768855840458761
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,5,7.782705545425415,0.03579831123352051,16,16,0,4,ABNORMAL: ,39.0,4.500802516937256,0.9442418010349972,0.9057894736842105,0.06836113192638882
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,5,34.64795637130737,0.14725804328918457,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,89.0,4.50838565826416,0.9491472531131353,0.884,0.08555834838640831
TabPFN Classifier (v2.5 default),300,500,9500,5,0.14295363426208496,3.0695629119873047,1,1,0,0,,,0.143770783829695,,0.8694736842105263,0.09131008292959933
