model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,accuracy,brier
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,3,9.16919231414795,0.0060176849365234375,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,194.0,4.424434661865234,0.7077894736842105,0.24305004710716485
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,3,2.991699457168579,0.00700688362121582,16,16,0,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.0,4.625852584838867,0.6658947368421053,0.2962351355277717
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,3,9.10851788520813,0.024532318115234375,16,16,0,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,126.0,4.424389839172363,0.7072631578947368,0.24309471961426526
TabPFN Classifier (v2.5 default),50,500,9500,3,1.8176138401031494,2.836961507797241,1,1,0,0,,,0.12070881773275804,0.7684210526315789,0.1521910991766163
TabPFN Classifier (v2 compatibility),50,500,9500,3,0.11467885971069336,2.6529510021209717,1,1,0,0,,,0.1266573878791342,0.8071578947368421,0.1334000930759971
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,3,7.095811367034912,0.009030818939208984,16,16,0,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,111.0,4.407930374145508,0.7270526315789474,0.225179078036376
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,3,3.5534439086914062,0.011360406875610352,16,16,0,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37.0,4.511405944824219,0.7770526315789473,0.172815716126999
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,3,8.4048912525177,0.046999454498291016,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,86.0,4.422788619995117,0.7978947368421052,0.15419001462803925
TabPFN Classifier (v2.5 default),100,500,9500,3,0.14039230346679688,2.9666900634765625,1,1,0,0,,,0.13391546338260688,0.8002105263157895,0.1402170562441365
TabPFN Classifier (v2 compatibility),100,500,9500,3,0.12157893180847168,2.664602041244507,1,1,0,0,,,0.17468954404950002,0.8217894736842105,0.12888299852036542
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,3,4.248102903366089,0.030640602111816406,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34.0,4.449213981628418,0.872,0.09779559254907187
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,3,6.935121774673462,0.03243398666381836,16,16,0,7,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,35.0,4.326903343200684,0.8906315789473684,0.07717391633680812
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,3,27.94066834449768,0.13616466522216797,16,16,0,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,84.0,4.373814582824707,0.8733684210526316,0.09067499274726339
TabPFN Classifier (v2.5 default),300,500,9500,3,0.15647411346435547,3.1758744716644287,1,1,0,0,,,0.06821400122402006,0.8643157894736843,0.09459719909444889
TabPFN Classifier (v2 compatibility),300,500,9500,3,0.12063455581665039,2.971977949142456,1,1,0,0,,,0.07401768769494903,0.8642105263157894,0.0922879294658945
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,3,14.275099515914917,0.05165863037109375,16,16,0,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66.0,4.385436534881592,0.8777894736842106,0.09225712344578496
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,3,12.592564821243286,0.06931757926940918,16,16,0,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.0,4.2385711669921875,0.9041052631578947,0.06790425133999017
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,3,61.292458057403564,0.23621273040771484,16,16,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,61.0,4.283881187438965,0.890421052631579,0.08042957428651003
TabPFN Classifier (v2.5 default),500,500,9500,3,0.22717618942260742,3.488997459411621,1,1,0,0,,,0.03346698068418992,0.8868421052631579,0.07845256476384814
TabPFN Classifier (v2 compatibility),500,500,9500,3,0.12245321273803711,3.253178358078003,1,1,0,0,,,0.031200577324269778,0.8916842105263157,0.07527087596588032
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",50,500,9500,4,6.266589403152466,0.007009029388427734,16,16,0,1,ABNORMAL: ,112.0,4.473543643951416,0.7806315789473685,0.16879793835638127
