model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,final_kf,kf_frac_10,kf_frac_50,kf_frac_90,accuracy,brier
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",50,500,9500,4,0.8797831535339355,0.008504629135131836,4,4,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64,4.629080772399902,0.2942337791805001,0.8642763768732518,0.4310232098921551,0.093546141181282,0.7886315789473685,0.15469532996789956
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",50,500,9500,4,2.169678211212158,0.02437877655029297,4,4,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,62,4.473552703857422,0.30324037308661234,0.8665259325430232,0.44809531008416426,0.06649313017249703,0.7805263157894737,0.16883590811477486
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,4,1.437354326248169,0.008398056030273438,4,4,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,82,4.484375,0.6006219529369003,0.8703656663210344,0.4129611986354731,0.10211617711055324,0.7641052631578947,0.19332232562009177
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,4,0.8972110748291016,0.01577448844909668,4,4,0,2,ABNORMAL: ,57,4.509742736816406,0.628687125546073,0.8829999301162188,0.4505305037396652,0.12595095045205246,0.8274736842105264,0.13286034846947892
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,4,2.342588186264038,0.053072452545166016,4,4,0,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,4.483798027038574,0.5876703802684056,0.86171074820907,0.3988151076533318,0.05108893724897634,0.765578947368421,0.1918213359464932
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,4,1.7693395614624023,0.021512746810913086,4,4,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47,4.480735778808594,0.8516929504789905,0.8600896029324077,0.41332011201068125,0.045607664361031655,0.8565263157894737,0.10746592867027248
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,4,1.3767166137695312,0.04021573066711426,4,4,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,35,4.40852165222168,0.8657863832710628,0.8731152282128707,0.482586155970364,0.11941797876196202,0.9007368421052632,0.06935283915440371
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,4,8.185277700424194,0.13132524490356445,4,4,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,100,4.450129508972168,0.8453025074555756,0.8530446581998421,0.4342520059090166,0.03815702913393692,0.8828421052631579,0.08619295275990706
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,4,2.333894968032837,0.04175233840942383,4,4,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,42,4.323429107666016,0.9057643041303558,0.8572076389589699,0.4496883075103124,0.10210732330156946,0.8751578947368421,0.09498518124610796
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,4,2.76605486869812,0.0662851333618164,4,4,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,29,4.235740661621094,0.90897783402908,0.8570150858638408,0.48485948395561185,0.12720321777027238,0.9106315789473685,0.06510870092414736
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,4,15.7433602809906,0.2476668357849121,4,4,0,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63,4.29356575012207,0.9038963104526168,0.8553156208261912,0.45563321101914656,0.10902482572008862,0.8902105263157895,0.08136290369781338
